Taxon,Male_ID,Dive_number_,dive_length,dive_start_relative_to_t=0,dive_end_relative_to_t=0,Max_velocity,max_Vel_Time_relative_to_t=0,Mean_Max_X_vel,maxVel_x_time_relative_to_t=0,Mean_Max_Y_vel,maxVel_y_time_relative_to_t=0,relative_time_closest_to_female,Closest_Dist_to_female_(m),MaxDoppler,MaxDopplerTime(z=0),MinDoppler,MinDopplerTime(z=0),Dopp=1,Dopp=1Time,W1Start_Relative_to_z=0,W1End_Relative_to_z=0,W1LowFreq,W1HighFreq,Gap_between_W1_and_W2_,W2Start_Relative_to_z=0,W2End_Relative_to_z=0,W2LowFreq,W2HighFreq,YStart_Relative_to_z=0,YEnd_Relative_to_z=0,YNumber_of_elements,YLowFreq,YHighFreq,XStart_Relative_to_z=0,XEnd_Relative_to_z=0,XNumber_of_elements,XLowFreq,XHighFreq
rthu,CF06K02,4,1.4584,-0.766733333,0.691666667,9.341621471,-0.141666667,8.709433896,-0.066666667,2.510214638,-0.216666667,-0.025,0.4349,1.021197172,-0.291666667,0.981394849,0.208333333,0.998980716,0.666666667,NA,NA,NA,NA,NA,0.279366667,0.554666667,6031.414,10764.398,-0.067133333,0.176366667,5,816.754,1193.717,NA,NA,NA,NA,NA
rthu,CF07K01,1,1.958366,-0.808366667,1.149999333,9.094106571,-0.125,7.846771011,-0.041666667,6.58905534,-0.2,-0.075,0.4989,1.026050819,0.008333333,0.981260131,0.225,0.999012488,0.141666667,-0.745266667,-0.534166667,6638.298,9898.527,0.7057,0.173733333,0.395533333,6402.619,10723.404,-0.124766667,0.107633333,4,785.597,1099.836,NA,NA,NA,NA,NA
rthu,CF07K01,2,1.708333,-0.841666667,0.866666333,9.094106571,-0.05,7.846771011,-0.1,6.58905534,0.041666667,-0.016666667,1.2225,1.026314503,0.091666667,0.979073974,0.283333333,1.002174498,0.2,-0.755466667,-0.518766667,6520.458,10487.725,0.7403,0.225433333,0.427933333,6795.417,10527.005,-0.211766667,0.125133333,7,785.597,1139.116,NA,NA,NA,NA,NA
rthu,CF07K01,3,1.775,-0.916666667,0.858333333,9.094106571,-0.141666667,7.846771011,-0.05,6.58905534,-0.2,-0.1,0.9832,1.025427222,-0.066666667,0.982151733,0.208333333,0.998223408,0.116666667,-0.828766667,-0.602766667,7048.649,10810.811,0.7655,0.164933333,0.354733333,6572.973,10464.865,-0.165566667,0.066833333,5,778.378,1081.081,NA,NA,NA,NA,NA
rthu,CF07K01,4,1.641634,-0.958334,0.6833,9.094106571,-0.125,7.846771011,-0.075,6.58905534,-0.325,0.025,1.831,1.021197172,0.016666667,0.981394849,0.516666667,0.998980716,0.975,-0.9123,-0.6585,6875.676,10810.811,0.7079,0.0548,0.2243,6572.973,10681.081,-0.2619,-0.07,4,778.378,1167.568,NA,NA,NA,NA,NA
rthu,Stble_notcaught,1,1.609,-0.859,0.75,8.36372561,-0.041666667,7.856938469,-0.025,2.833827864,-0.066666667,-0.05,0.3342,1.022182133,-0.158333333,0.978915216,0.025,1.002341973,-0.058333333,-0.669,-0.4734,6230.769,11692.308,0.7098,0.2368,0.5043,5846.154,11384.615,-0.0018,0.1517,3,692.308,1076.923,NA,NA,NA,NA,NA
rthu,Stble_notcaught,2,1.64167,-0.783336667,0.858333333,9.371089378,-0.1,8.207026679,-0.05,4.106192505,-0.058333333,-0.025,0.3786,1.026244546,-0.166666667,0.978948348,0.066666667,0.999049655,-0.025,-0.669866667,-0.448466667,6461.538,10846.154,0.7233,0.275133333,0.555633333,6230.769,11153.846,-0.063166667,0.164633333,5,576.923,1115.385,NA,NA,NA,NA,NA
rthu,Stble_notcaught,3,1.775003,-0.650003333,1.124999667,9.090876708,-0.016666667,8.277624892,-0.025,3.773634289,0,0.008333333,0.3101,1.024887661,-0.108333333,0.978086934,0.091666667,0.997668631,0.008333333,-0.401433333,-0.208033333,6538.462,11153.846,0.7459,0.544366667,0.825866667,5923.077,11384.615,0.144466667,0.436866667,6,615.385,1076.923,NA,NA,NA,NA,NA
rthu,Stble_notcaught,4,1.891673,-0.741673333,1.149999667,8.403134067,-0.075,8.192694491,-0.025,2.10834069,-0.225,-0.075,0.5812,1.022689848,-0.216666667,0.97735906,0.375,0.999755962,-0.075,-0.592933333,-0.373433333,5824,11072,0.6206,0.253166667,0.502566667,6080,11200,-0.010233333,0.149366667,5,640,1088,NA,NA,NA,NA,NA
rthu,APPT2chuck_notcaught,1,1.325,-0.725,0.6,7.927964185,-0.3,6.413136467,-0.041666667,4.575672136,-0.025,-0.025,0.4164,1.021068012,-0.15,0.982003105,0.05,1.000356184,-0.033333333,-0.6404,-0.448,7157.895,11410.526,0.6215,0.175,0.4266,6905.263,11076.923,-0.084,0.0374,4,715.789,1052.632,NA,NA,NA,NA,NA
