ind,angle,names,u,s,m,l,u.r,s.r,m.r,l.r,x,y,z,h.theta,h.phi,r.vec,r.max,r.achieved,lum
AE18K11,-60,AE18K11 -60,0.250490986,0.244021479,0.244561277,0.260926259,0.000490986,-0.005978521,-0.005438723,0.010926259,0.010352021,-0.005595048,0.000490986,-0.495503861,0.041700501,0.01177752,0.492493006,0.023914085,0.092686932
AE18K11,-40,AE18K11 -40,0.245808616,0.212529441,0.260399948,0.281261996,-0.004191384,-0.037470559,0.010399948,0.031261996,0.042089922,0.009548932,-0.004191384,0.223093434,-0.096810213,0.043362557,0.289310847,0.149882237,0.236629149
AE18K11,-20,AE18K11 -20,0.164215694,0.125097625,0.251837664,0.458849018,-0.085784306,-0.124902375,0.001837664,0.208849018,0.204380153,-0.028380196,-0.085784306,-0.137977526,-0.394001373,0.223462815,0.447274952,0.499609501,0.303090364
AE18K11,0,AE18K11 0,0.115042563,0.065977523,0.167158461,0.651821452,-0.134957437,-0.184022477,-0.082841539,0.401821452,0.358754674,-0.13558138,-0.134957437,-0.361330195,-0.33835931,0.406571933,0.552340046,0.736089906,0.61178781
AE18K11,20,AE18K11 20,0.267328185,0.235128378,0.23620542,0.261338018,0.017328185,-0.014871622,-0.01379458,0.011338018,0.016050061,-0.008504923,0.017328185,-0.48728032,0.761847726,0.025103867,0.422009573,0.059486488,0.104116722
AE18K11,40,AE18K11 40,0.264413156,0.235564572,0.240920237,0.259102035,0.014413156,-0.014435428,-0.009079763,0.009102035,0.014413693,-0.004534723,0.014413156,-0.304807929,0.76179248,0.020881986,0.361644732,0.057741711,0.174052767
AE18K11,60,AE18K11 60,0.223648375,0.222490637,0.275589028,0.27827196,-0.026351625,-0.027509363,0.025589028,0.02827196,0.034158945,0.017824557,-0.026351625,0.480944779,-0.599857581,0.046679294,0.424212777,0.110037453,0.133308337
AE18K11,80,AE18K11 80,0.139934661,0.34340909,0.310106823,0.206549426,-0.110065339,0.09340909,0.060106823,-0.043450574,-0.083809086,0.024838939,-0.110065339,2.853464619,-0.899610049,0.140553601,0.319250368,0.440261358,0.005232819
AE18K01,-80,AE18K01 -80,0.250159511,0.25328404,0.243454461,0.253101988,0.000159511,0.00328404,-0.006545539,0.003101988,-0.000111483,-0.006886197,0.000159511,-1.586984305,0.023156629,0.006888946,0.263116084,0.026182156,0.060471647
AE18K01,-60,AE18K01 -60,0.252064969,0.247491257,0.24024079,0.260202984,0.002064969,-0.002508743,-0.00975921,0.010202984,0.007784312,-0.009621128,0.002064969,-0.89054019,0.165331668,0.01254694,0.321412817,0.039036839,0.120353884
AE18K01,-40,AE18K01 -40,0.254024938,0.238531001,0.241571119,0.265872942,0.004024938,-0.011468999,-0.008428881,0.015872942,0.016743451,-0.007517148,0.004024938,-0.421989139,0.215883437,0.018789646,0.40957467,0.045875996,0.101373963
AE18K01,-20,AE18K01 -20,0.185564282,0.165795858,0.235229303,0.413410557,-0.064435718,-0.084204142,-0.014770697,0.163410557,0.151632416,-0.038448157,-0.064435718,-0.248327932,-0.39073255,0.169182186,0.502297699,0.336816567,0.129883182
AE18K01,0,AE18K01 0,0.124057547,0.079009627,0.155450839,0.641481987,-0.125942453,-0.170990373,-0.094549161,0.391481987,0.344442569,-0.144811911,-0.125942453,-0.397988329,-0.325104171,0.394300233,0.576494785,0.683961492,0.399512121
AE18K01,20,AE18K01 20,0.253592511,0.249790946,0.239376334,0.25724021,0.003592511,-0.000209054,-0.010623666,0.00724021,0.004561724,-0.009997955,0.003592511,-1.142744095,0.31595381,0.011561772,0.272075844,0.042494665,0.058260309
AE18K01,40,AE18K01 40,0.241752212,0.237668444,0.246671746,0.273907598,-0.008247788,-0.012331556,-0.003328254,0.023907598,0.022191859,-0.00644618,-0.008247788,-0.28269549,-0.342813904,0.024536867,0.497440603,0.049326226,0.08373776
AE18K01,60,AE18K01 60,0.239902589,0.238838811,0.247248231,0.274010369,-0.010097411,-0.011161189,-0.002751769,0.024010369,0.021538093,-0.006488665,-0.010097411,-0.292616598,-0.421928886,0.02465664,0.552285238,0.044644757,0.118146213
AE18K01,80,AE18K01 80,0.149773345,0.350395741,0.282482647,0.217348267,-0.100226655,0.100395741,0.032482647,-0.032651733,-0.081474606,-0.000982423,-0.100226655,-3.129535206,-0.888201145,0.129168336,0.322190578,0.40090662,0.005219183
